Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201601,104,10580,C,Albany-Schenectady-Troy  NY ,66,66,16691,1,2,259,0,0,0,2,10,1258,50,50,13473,1,2,259,0,0,0,0,0,0
201601,104,24020, ,Glens Falls  NY ,10,10,1209,0,0,0,0,0,0,0,0,0,5,5,854,0,0,0,0,0,0,0,0,0
201601,106,10740,C,Albuquerque  NM ,130,130,28070,0,0,0,0,0,0,11,88,11174,117,117,25549,0,0,0,0,0,0,10,83,10966
201601,106,42140,C,Santa Fe  NM ,14,14,3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,108,11100, ,Amarillo  TX ,34,34,8472,0,0,0,0,0,0,0,0,0,34,34,8472,0,0,0,0,0,0,0,0,0
201601,118,11540, ,Appleton  WI ,12,12,3140,0,0,0,0,0,0,0,0,0,12,12,3140,0,0,0,0,0,0,0,0,0
201601,118,36780, ,Oshkosh-Neenah  WI ,16,16,3845,0,0,0,0,0,0,0,0,0,16,16,3845,0,0,0,0,0,0,0,0,0
201601,120,11700, ,Asheville  NC ,101,101,26269,0,0,0,0,0,0,2,30,2687,32,32,7510,0,0,0,0,0,0,0,0,0
201601,122,12020, ,Athens-Clarke County  GA ,49,49,10414,0,0,0,0,0,0,0,0,0,49,49,10414,0,0,0,0,0,0,0,0,0
201601,122,12060, ,Atlanta-Sandy Springs-Roswell  GA ,1517,1517,326670,0,0,0,0,0,0,11,1092,170595,1428,1428,304796,0,0,0,0,0,0,9,1053,166897
201601,122,23580, ,Gainesville  GA ,54,54,12156,0,0,0,0,0,0,0,0,0,26,26,6586,0,0,0,0,0,0,0,0,0
201601,140,13460, ,Bend-Redmond  OR ,124,124,24260,1,2,287,0,0,0,0,0,0,112,112,21428,1,2,287,0,0,0,0,0,0
201601,142,13820,C,Birmingham-Hoover  AL ,174,174,43474,0,0,0,0,0,0,6,221,24748,111,111,29530,0,0,0,0,0,0,5,216,24582
201601,144,14020,C,Bloomington  IN ,15,15,4199,0,0,0,0,0,0,1,20,1845,3,3,1375,0,0,0,0,0,0,0,0,0
201601,145,14010, ,Bloomington  IL ,4,4,558,0,0,0,0,0,0,0,0,0,4,4,558,0,0,0,0,0,0,0,0,0
201601,146,14100,C,Bloomsburg-Berwick  PA ,3,3,873,0,0,0,0,0,0,0,0,0,1,1,449,0,0,0,0,0,0,0,0,0
201601,147,14260,C,Boise City  ID ,419,419,85357,0,0,0,0,0,0,4,104,10587,418,418,85190,0,0,0,0,0,0,4,104,10587
201601,148,12700, ,Barnstable Town  MA ,5,5,1435,0,0,0,0,0,0,0,0,0,2,2,513,0,0,0,0,0,0,0,0,0
201601,148,14460,C,Boston-Cambridge-Newton  MA-NH ,293,293,80604,15,30,5471,6,20,3117,18,252,103452,214,214,58638,11,22,4262,4,14,2146,8,196,95971
201601,148,31700, ,Manchester-Nashua  NH ,32,32,5899,0,0,0,0,0,0,0,0,0,25,25,4665,0,0,0,0,0,0,0,0,0
201601,148,39300,C,Providence-Warwick  RI-MA ,87,87,18757,2,4,1000,0,0,0,1,37,4317,55,55,12315,2,4,1000,0,0,0,1,37,4317
201601,148,49340, ,Worcester  MA-CT ,9,9,1648,0,0,0,0,0,0,0,0,0,4,4,680,0,0,0,0,0,0,0,0,0
201601,150,14540, ,Bowling Green  KY ,23,23,5190,0,0,0,1,3,300,0,0,0,23,23,5190,0,0,0,1,3,300,0,0,0
201601,154,15180, ,Brownsville-Harlingen  TX ,43,43,4093,0,0,0,0,0,0,1,12,577,43,43,4093,0,0,0,0,0,0,1,12,577
201601,160,15380,C,Buffalo-Cheektowaga-Niagara Falls  NY ,50,50,12150,1,2,357,0,0,0,3,18,1533,34,34,8060,0,0,0,0,0,0,2,13,1050
201601,162,15980,C,Cape Coral-Fort Myers  FL ,295,295,68989,4,8,395,0,0,0,2,36,5845,295,295,68989,4,8,395,0,0,0,2,36,5845
201601,162,34940, ,Naples-Immokalee-Marco Island  FL ,228,228,60807,0,0,0,10,39,7231,4,30,4187,228,228,60807,0,0,0,10,39,7231,4,30,4187
201601,164,16020, ,Cape Girardeau  MO-IL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,168,16300, ,Cedar Rapids  IA ,6,6,801,1,2,142,4,14,1367,0,0,0,6,6,801,1,2,142,4,14,1367,0,0,0
201601,168,26980, ,Iowa City  IA ,7,7,1910,0,0,0,0,0,0,1,59,11900,7,7,1910,0,0,0,0,0,0,1,59,11900
201601,170,16620, ,Charleston  WV ,3,3,572,0,0,0,1,3,182,1,12,803,0,0,0,0,0,0,0,0,0,0,0,0
201601,170,26580, ,Huntington-Ashland  WV-KY-OH ,12,12,2576,0,0,0,0,0,0,0,0,0,11,11,2475,0,0,0,0,0,0,0,0,0
201601,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,815,815,203774,1,2,277,0,0,0,11,273,26649,746,746,186105,1,2,277,0,0,0,8,219,21589
201601,174,16860, ,Chattanooga  TN-GA ,69,69,13164,0,0,0,1,4,575,1,56,4568,41,41,7572,0,0,0,1,4,575,0,0,0
201601,174,17420, ,Cleveland  TN ,17,17,2970,1,2,191,2,8,636,1,12,458,0,0,0,0,0,0,0,0,0,0,0,0
201601,176,16980, ,Chicago-Naperville-Elgin  IL-IN-WI ,374,374,121846,4,8,1553,8,26,5584,32,1247,303998,316,316,108425,3,6,1316,8,26,5584,29,1215,301180
