target_name,fold_id,solver_name,convergence_info_code,converged,iterations,maxiter,requested_tolerance,achieved_absolute_residual,achieved_relative_residual,rhs_norm,solution_norm,maximum_absolute_solution_entry,riesz_ridge,scaling_value,cached_scale,elapsed_seconds,contains_nonfinite
asinh_permits_mean,0,scipy.sparse.linalg.cg,0,True,1303,2000,1e-05,9.914591201571135e-08,9.817607265061654e-06,0.010098785716204622,9.070199578419487,0.13145345836197034,1e-06,326.5659492403002,False,1.228268999955617,False
asinh_permits_mean,1,scipy.sparse.linalg.cg,0,True,1024,2000,1e-05,7.175959827421956e-08,7.105742522832832e-06,0.010098817687755354,10.657403391643303,0.1395774340998044,1e-06,330.399059744407,False,1.0035238000564277,False
asinh_permits_mean,2,scipy.sparse.linalg.cg,0,True,1284,2000,1e-05,9.754500521973137e-08,9.659073979349993e-06,0.010098794711405209,8.818379401566661,0.12331148262005646,1e-06,331.4174863215181,False,1.2007315999362618,False
asinh_permits_mean,3,scipy.sparse.linalg.cg,0,True,1010,2000,1e-05,8.850286282996961e-08,8.7636767554992e-06,0.010098827843511472,10.573458955961387,0.14215947450949623,1e-06,334.22510300386244,False,0.9522915999405086,False
asinh_permits_mean,4,scipy.sparse.linalg.cg,0,True,1164,2000,1e-05,8.939364456487255e-08,8.851896627536092e-06,0.01009881252869478,10.597442879639306,0.14377393171865746,1e-06,331.5717125409598,False,1.0969174000201747,False
asinh_permits_mean,5,scipy.sparse.linalg.cg,0,True,1023,2000,1e-05,5.958525870711867e-08,5.90022687606311e-06,0.010098808055814383,10.719573941607246,0.14434816946262238,1e-06,330.0311745789464,False,0.9729622000595555,False
asinh_permits_mean,6,scipy.sparse.linalg.cg,0,True,1165,2000,1e-05,5.205524854506843e-08,5.154604055515976e-06,0.010098787023100983,9.073940730368196,0.136362244350743,1e-06,330.2070239852344,False,1.1453707999316975,False
asinh_permits_mean,7,scipy.sparse.linalg.cg,0,True,1068,2000,1e-05,8.859644119851535e-08,8.772956863039393e-06,0.01009881190363235,10.755703298416996,0.1476166340092994,1e-06,332.26363062901754,False,1.1400829999474809,False
asinh_permits_mean,8,scipy.sparse.linalg.cg,0,True,949,2000,1e-05,8.213206684353011e-08,8.13284166509709e-06,0.010098815423397231,10.750889256291353,0.14616308738161043,1e-06,326.416964622167,False,0.9155681999400258,False
asinh_permits_mean,9,scipy.sparse.linalg.cg,0,True,1038,2000,1e-05,6.259036092970457e-08,6.19779760145521e-06,0.010098806859231525,10.651490407663987,0.1426974050302981,1e-06,329.89277740356044,False,1.0325639999937266,False
lag_log_zhvi_mean,0,scipy.sparse.linalg.cg,0,True,1304,2000,1e-05,9.182035707142703e-08,9.089751600185547e-06,0.010101525444276466,9.599347576819083,0.14365941473395666,1e-06,325.17109979106493,False,1.2338463000487536,False
lag_log_zhvi_mean,1,scipy.sparse.linalg.cg,0,True,1016,2000,1e-05,7.17274971982679e-08,7.1006599544407805e-06,0.010101525443900358,11.317895033460813,0.15258371558564188,1e-06,329.43728217254215,False,0.9592177000595257,False
lag_log_zhvi_mean,2,scipy.sparse.linalg.cg,0,True,1278,2000,1e-05,7.137244493498524e-08,7.065511573489226e-06,0.010101525444071807,9.319357166835156,0.1284196771571159,1e-06,330.43280858757856,False,1.204829499940388,False
lag_log_zhvi_mean,3,scipy.sparse.linalg.cg,0,True,1001,2000,1e-05,9.048535786865535e-08,8.957593422149338e-06,0.010101525443755154,11.232243155514482,0.15573063958380795,1e-06,333.0982748470902,False,0.9462445999961346,False
lag_log_zhvi_mean,4,scipy.sparse.linalg.cg,0,True,1235,2000,1e-05,6.119728784268649e-08,6.0582224125382965e-06,0.010101525443508078,11.268336614685765,0.15415217874656162,1e-06,330.37707587357755,False,1.1739161000587046,False
lag_log_zhvi_mean,5,scipy.sparse.linalg.cg,0,True,1007,2000,1e-05,8.72594837266949e-08,8.638248174915207e-06,0.010101525443560373,11.39284330810721,0.1577723383329802,1e-06,329.13788328497895,False,0.9611733999336138,False
